mineral,formula,system
LAUBMANITE,(of,Moore),(?),(Fe+++|Fe++)8+x(PO4)5(OH|H2O)9.2H2O,O
LAUEITE,Mn++Fe+++2(PO4)2(OH)2.8H2O,A
LAUMONTITE,Ca4[Al8Si16O48].18H2O,M
LAUNAYITE,Pb22Sb26S61,M
LAURELITE,Pb7F12Cl2,H
LAURENTIANITE,[NbO(H2O)]3(Si2O7)2[Na(H2O)2]3,R
LAURIONITE,PbCl(OH),O
LAURITE,RuS2,C
LAUSENITE,Fe+++2(SO4)3.6H2O,M
LAUTARITE,Ca(IO3)2,M
LAUTENTHALITE,PbCu++4(OH)6(SO4)2.3H2O,M
LAUTITE,CuAsS,O
LAVENDULAN,NaCaCu5(AsO4)4Cl.5H2O,O
LAVENITE,(Na|Ca)8(Mn++|Fe++)4(Zr|Ti)4(Si2O7)4(O|OH|F)8,M
LAVINSKYITE,K(LiCu)Cu6(Si4O11)2(OH)4,O
LAVOISIERITE,Mn++8[Al10(Mn+++Mg)][Si11P]O44(OH)12,O
LAVRENTIEVITE,Hg3S2(Cl|Br)2,M/A
LAWRENCITE,(Fe++|Ni)Cl2,R
LAWSONBAUERITE,(Mn|Mg)9Zn4(SO4)2(OH)22.8H2O,M
LAWSONITE,CaAl2Si2O7(OH)2.H2O,O
LAZARENKOITE,(Ca|Fe++)Fe+++As+++3O7.3H2O,O
LAZULITE,(Mg|Fe)Al2(PO4)2(OH)2,M
LAZURITE,(Na|Ca)7-8(Al|Si)12(O|S)24[(SO4)|Cl2|(OH)2],C,M,A
LEAD,Pb,C
LEADAMALGAM,HgPb2,Q
LEADHILLITE,Pb4(SO4)(CO3)2(OH)2,M ps A
LEAKEITE,NaNa2(Mg2Fe+++2Li)Si8O22(OH)2,M
LECHATELIERITE,(natural,fused,silica),SiO2
LECONTITE,(NH4|K)Na(SO4).2H2O,O
LECOQITE,Na3Y(CO3)3.6H2O,H
LEGRANDITE,Zn2(AsO4)(OH).H2O,M
LEHNERITE,Mn++U++++++(PO4)2O.8H2O,M
LEIFITE,Na2(Si|Al|Be)7(O|OH|F)14,R
LEIGHTONITE,K2Ca2Cu(SO4)4.2H2O,A ps O
LEISINGITE,(Cu|Mg|Zn)2(Mg|Fe)Te++++++O6.6H2O,R
LEITEITE,ZnAs+++2O4,M
LEMANSKIITE,NaCaCu5(AsO4)4Cl.5H2O,Q
LEMMLEINITE-Ba,Na4K4Ba2+xTi8(Si4O12)4(O|OH)8.8H2O,M
LEMMLEINITE-K,Na4K4K4Ti8(Si4O12)4(O|OH)8.8H2O,M ps O
LEMOYNITE,(Na|K)2CaZr2Si10O26.5-6H2O,M
LENAITE,AgFeS2,Q
LENGENBACHITE,Pb6(Ag|Cu)2As4S13,A
LENINGRADITE,PbCu++3(VO4)Cl2,O
LENNILENAPEITE,K6-7(Mg|Mn|Fe++|Fe+++|Zn)48(Si|Al)72(O|OH)216.16H2O,A
LENOBLITE,V++++2O4.2H2O,O,(?)
LEOGANGITE,Cu10(AsO4)4(SO4)(OH)6.8H2O,M
LEONARDSENITE,MgAlF5(H2O)2,M
LEONITE,K2Mg(SO4)2.4H2O,M
LEPERSONNITE-(Gd),CaO.(Gd|Dy)2O3.24UO3.8CO2.4SiO2.60H2O,O
LEPIDOCROCITE,gamma-Fe+++O(OH),O
LEPKHENELMITE-Zn,(Ba|K)2Zn(Ti|Nb)4Si8O24(O|OH)4.7H2O,M
LERMONTOVITE,U++++(PO4)(OH).H2O,(?),O
LESUKITE,(Al|Fe+++)2(OH)5Cl.2H2O,C
LETOVICITE,(NH4)3H(SO4)2,A
LEUCITE,K[AlSi2O6],Q
LEUCOPHANITE,Na2Ca2Be2(Si4O12)F2,A ps O
LEUCOPHOENICITE,Mn++7(SiO4)3(OH)2,M
LEUCOPHOSPHITE,KFe+++2(PO4)2(OH).2H2O,M
LEUCOSPHENITE,BaNa4Ti2B2Si10O30,M
LEUCOSTAURITE,Pb2[B5O9]Cl.0|5H2O,O
LEVERETTITE,Cu3(Co|Cu)(OH)6Cl2,R
LEVINSONITE-(Y),(Y|Nd|Ce)Al(SO4)2(C2O4).12H2O,M
LEVYCLAUDITE,Pb8Sn7Cu3(Bi|Sb)3S28,M ps Q/H
LEVYNE-Ca,(Ca0|5|Na|K)6[Al6Si12O36].17H2O,R
LEVYNE-Na,(Na|Ca0|5|K)6[Al6Si12O36].17H2O,R
LEYDETITE,Fe(UO2)(SO4)2(H2O)11,M
LIANDRATITE,U++++++(Nb|Ta)2O8,H
LIBERITE,Li2BeSiO4,M
LIBETHENITE,Cu2(PO4)(OH),M
LIEBAUITE,Ca3Cu5Si9O26,M
LIEBENBERGITE,(Ni|Mg)2SiO4,O
LIEBIGITE,Ca2(UO2)(CO3)3.11H2O,O
LIKASITE,Cu3(NO3)(OH)5.2H2O,O
LILEYITE,Ba2(Na|Fe|Ca)3MgTi2(Si2O7)2O2F2,M
LILLIANITE,Pb3Bi2S6,O
LIME,CaO,C
LINARITE,PbCu(SO4)(OH)2,M
LINDACKERITE,(Cu|Co)5(AsO4)2(AsO3OH)2.10H2O,A
LINDBERGITE,Mn(C2O4).2H2O,M
LINDGRENITE,Cu3(MoO4)2(OH)2,M
LINDQVISTITE,Pb2(Mn++|Mg)Fe+++16O27,H
LINDSLEYITE,(Ba|Sr)(Ti|Cr|Fe|Mg|Zr)21O38,R
LINDSTROMITE,Cu3Pb3Bi7S15,O
LINNAEITE,Co++Co+++2S4,C
LINTISITE,Na3LiTi2Si4O14.2H2O,M
LINZHIITE,FeSi2,Q
LIOTTITE,(Ca|Na|K)8(Si|Al)12O24[(SO4)|(CO3)|Cl|OH]4.H2O,H
LIPSCOMBITE,(Fe++|Mn++)Fe+++2(PO4)2(OH)2,Q
LIROCONITE,Cu2Al(AsO4)(OH)4.4H2O,M
LISETITE,Na2CaAl4Si4O16,O
LISHIZHENITE,ZnFe+++2(SO4)4.14H2O,A
LISIGUANGITE,CuPtBiS3,O
LISITSYNITE,KBSi2O6,O
LISKEARDITE,(Al|Fe+++)3(AsO4)(OH)6.5H2O,O,(?)
LITHARGE,PbO,Q
LITHIOMARSTURITE,LiCa2Mn2HSi5O15,A
LITHIOPHILITE,LiMnPO4,O
LITHIOPHORITE,Li6Al14Mn++3Mn++++18O42(OH)42,H,or,M
LITHIOPHOSPHATE,Li3PO4,O
LITHIOTANTITE,Li(Ta|Nb)3O8,M
LITHIOWODGINITE,(Li|Mn|Fe)(Ta|Nb|Sn)3O8,M
LITHOSITE,K6Al4Si8O25.2H2O,M ps O
LITIDIONITE,KNaCuSi4O10,A
LITOCHLEBITE,PbAg2Bi4Se8,M
LITVINSKITE,Na2([]|Na|Mn++)ZrSi6O12(O|OH)6,M
LIVEINGITE,Pb9As13S28,M
LIVERSIDGEITE,Zn6(PO4)4.7H2O,A
LIVINGSTONITE,HgSb4S8,M
LIZARDITE,(-1T|-2H),Mg3Si2O5(OH)4,R/H
LOKKAITE-(Y),CaY4(CO3)7.9H2O,O
LOLLINGITE,FeAs2,O
LOMONOSOVITE,Na8Mn++Ti++++3Si4O12(PO4)2O4,A
LONDONITE,(Cs|K|Rb)Al4Be4(B|Be)12O28,C
LONECREEKITE,(NH4)(Fe+++|Al)(SO4)2.12H2O,C
LONSDALEITE,C,H
LOPARITE-(Ce),(Na|Ce|Ca)(Ti|Nb)O3,Q/O ps Q
LOPEZITE,K2Cr2O7,A
LORANDITE,TlAsS2,M
LORANSKITE-(Y),(Y|Ce|Ca)ZrTaO6,(?),O,(?)
LORENZENITE,Na2Ti2Si2O9,O
LOSEYITE,(Mn|Zn)7(CO3)2(OH)10,M
LOTHARMEYERITE,Ca(Mn+++|Zn)2(AsO4)2(OH|H2O)2,M
LOUDOUNITE,NaCa5Zr4Si16O40(OH)11.8H2O,(?)
LOUGHLINITE,Na2Mg3Si6O16.8H2O,O
LOURENSWALSITE,(K|Ba)2(Ti|Mg|Ca|Fe)4(Si|Al|Fe)6O14(OH)12,H
LOVDARITE,K4Na12[Be8Si28O72].18H2O,O
LOVERINGITE,(Ca|Ce)(Ti|Fe+++|Cr|Mg)21O38,R
LOVOZERITE,Na2CaZrSi6O18(OH|O)6.H2O,R,(?)
LOWEITE,Na12Mg7(SO4)13.15H2O,R
LUANHEITE,Ag3Hg,H
LUBEROITE,Pt5Se4,M
LUCABINDIITE,(K|NH4)As4O6(Cl|Br),H
LUCASITE-(Ce),(Ce|La)Ti2(O|OH)6,M
LUDDENITE,Pb2Cu2Si5O14.14H2O,M
LUDJIBAITE,Cu5(PO4)2(OH)4,A
LUDLAMITE,(Fe++|Mg|Mn)3(PO4)2.4H2O,M
LUDLOCKITE,Pb++Fe+++4As+++10O22,A
LUDWIGITE,Mg2Fe+++BO5,O
LUESHITE,NaNbO3,M ps C
LUETHEITE,Cu2Al2(AsO4)2(OH)4,M
LUINAITE-(OH),(Na|[](Fe++|Mg)3Al6(BO3)3Si6O18(OH)4,R
LUKECHANGITE-(Ce),Na3(Ce|La|Nd)2(CO3)4F,H
LUKRAHNITE,Ca(Cu|Zn)(Fe+++|Zn)(AsO4)2.2(H2O|OH),A
LULZACITE,Sr2Fe++(Fe++|Mg)2Al4(PO4)4(OH)10,A
LUNEBURGITE,Mg3B2(PO4)2(OH)6.5H2O,M
LUNIJIANLAITE,Li0|72Al6(Si7AlO20)(OH|O)10,M
LUNOKITE,(LUN'OKITE),(Mn++|Ca)(Mg|Fe++|Mn++)Al(PO4)2(OH).4H2O,O
LUOBUSAITE,Fe3Si7,O
LUSERNAITE-(Y),Y4Al(CO3)2(OH|F)11.6H2O,O
LUZONITE,Cu3AsS4,Q
LYONSITE,Cu++3Fe+++4(VO4)6,O
MACAULAYITE,(Fe+++|Al)24Si4O43(OH)2,M
MACDONALDITE,BaCa4Si16O36(OH)2.10H2O,O
MACEDONITE,PbTiO3,Q
MACFALLITE,Ca2Mn+++3(SiO4)(Si2O7)(OH)3,M
MACHATSCHKIITE,(Ca|Na)6(As+++++O4)(As+++++O3OH)3(PO4|SO4).15H2O,R
MACKAYITE,Fe+++Te2O5(OH),Q
MACKINAWITE,(Fe|Ni)9S8,Q
MACPHERSONITE,Pb4(SO4)(CO3)2(OH)2,O
MACQUARTITE,Pb3Cu++(CrO4)SiO3(OH)4.2H2O,M
MADOCITE,Pb17(Sb|As)16S41,O
MAGADIITE,NaSi7O13(OH)3.4H2O,M
MAGBASITE,KBa(Mg|Fe++)8Si8O23F5,(?)
MAGHAGENDORFITE,NaMn++Mg(Fe++|Fe+++)2(PO4)3,M
MAGHEMITE,gamma-Fe2O3
MAGHREBITE,MgAl2(AsO4)2(OH)2.8H2O,A
MAGNESIOARFVEDSONITE,NaNa2(Mg4Fe+++)Si8O22(OH)2,M
MAGNESIOASTROPHYLLITE,K2Na2(Fe++|Fe+++|Mn)4Mg2Ti2Si8O26(OH)4,M
MAGNESIOAUBERTITE,(Mg|Cu)Al(SO4)2Cl.14H2O,A
MAGNESIOCARPHOLITE,MgAl2Si2O6(OH)4,O
MAGNESIOCHLORITOID,MgAl2SiO5(OH)2,A
MAGNESIOCHROMITE,MgCr2O4,C
MAGNESIOCOPIAPITE,MgFe+++4(SO4)6(OH)2.20H2O,A
MAGNESIOCOULSONITE,MgV2O4,C
MAGNESIODUMORTIERITE,(Mg|Ti|-)(Al|Mg)2Al4Si3O18-y(OH)yB,(y=2-3),O
MAGNESIOFERRIKATOPHORITE,(?),Na2Ca(Mg|Fe++)4Fe+++Si7AlO22(OH)2,(?),M
MAGNESIOFERRITE,MgFe+++2O4,C
MAGNESIOFOITITE,[](Mg2Al)Al6(Si6O18)(BO3)3(OH)3OH,R ps H
MAGNESIOHASTINGSITE,NaCa2(Mg4Fe+++)Si6Al2O22(OH)2,M
MAGNESIOHOGBOMITE-2N2S,Ti(Mg|Fe)2Al8O15(OH),H
MAGNESIOHOGBOMITE-2N3S,Ti(Mg|Fe)3Al10O19(OH),R
MAGNESIOHOGBOMITE-6N6S,Ti(Mg|Fe)2Al8O15(OH),R
MAGNESIOHORNBLENDE,[]Ca2[Mg4(Al|Fe+++)]Si7AlO22(OH)2,M
MAGNESIOHULSITE,(Mg|Fe++)2(Fe+++|Sn++++|Mg)BO5,M
MAGNESIOKATOPHORITE,Na(CaNa)Mg4(Al|Fe+++)Si7AlO22(OH)2,M
MAGNESIOKORITNIGITE,Mg(AsO3OH).H2O,A
MAGNESIONEPTUNITE,KNa2Li(Mg|Fe++)2Ti2Si8O24,M
MAGNESIONIGERITE-2N1S,(Mg|Fe++)4(Al10Sn2)[]12O22(OH)2,R
MAGNESIONIGERITE-6N6S,(Mg|Fe++)18(Al42Sn6)[]48O90(OH)6,R
MAGNESIOPASCOITE,MgCa2(V10O28).16H2O,M ps H
MAGNESIORIEBECKITE,[]Na2(Mg3Fe+++2)Si8O22(OH)2,M
MAGNESIOSADANAGAITE,NaCa2Mg3(Al|Fe++|Ti)2(Al|Si)4(Si2O11)2(OH)2,M
MAGNESIOSTAUROLITE,[]4Mg4Al16(Al2[]2)Si8O40[(OH)2O6],M
MAGNESIOTAAFFEITE-2N'2S,Mg3Al8BeO16,H
MAGNESIOTAAFFEITE-6N'3S,Mg2Al6BeO12,R
MAGNESIOTARAMITE,Na(CaNa)Mg3AlFe+++Si6Al2O22(OH)2,M
MAGNESITE,MgCO3,R
MAGNESIUMCHLOROPHOENICITE,(Mg|Mn)3Zn2(AsO4)(OH|O)6,M
MAGNESIUMZIPPEITE,Mg(UO2)2(SO4)O2.3|5H2O,M
MAGNETITE,Fe++Fe+++2O4,C
MAGNETOPLUMBITE,Pb(Fe+++|Mn+++)12O19,H
MAGNOLITE,Hg+2Te++++O3,O
MAGNUSSONITE,Mn++5As+++3O9(OH|Cl),C/Q
MAHNERTITE,(Na|Ca|K)Cu++3(AsO4)2Cl.5H2O,Q
MAIKAINITE,Cu10(Fe|Cu)3Mo(Ge|As)3S16,C
MAJAKITE,PdNiAs,H
MAJORITE,{Mg3}[SiMg](Si3)O12,C
MAKAROCHKINITE,Ca2Fe++4Fe+++TiSi4BeAlO20,A
MAKATITE,Na2Si4O8(OH)2.4H2O,M
MAKINENITE,gamma-NiSe,R
MAKOVICKYITE,(Ag|Cu)1|5(Bi|Pb)5|5S9,M
MALACHITE,Cu2(CO3)(OH)2,M
MALANITE,Cu(Pt|Ir)2S4,C
MALAYAITE,CaSnSiO5,M
MALDONITE,Au2Bi,C
MALEEVITE,BaBi2Si2O8,O
MALHMOODITE,Fe+++Zr(PO4)2.4H2O,M
MALINKOITE,NaBSiO4,H
MALLADRITE,Na2SiF6,R
MALLARDITE,Mn++SO4.7H2O,M
MALLESTIGITE,Pb3Sb+++++(SO4)(AsO4)(OH)6.3H2O,H
MALYSHEVITE,PdCuBiS3,O
MAMMOTHITE,Pb6Cu4AlSb+++++O2(SO4)2Cl4(OH)16,M
MANAKSITE,KNaMn++Si4O10,A
MANANDONITE,LiAl2(SiAl0|5B0|5)O5(OH)4,O
MANASSEITE,=,HYDROTALCITE,Mg6Al2(CO3)(OH)16.4H2O,H
MANDARINOITE,Fe+++2Se++++3O9.6H2O,M
MANGANARSITE,Mn++3As+++204(OH)4,R
MANGANBABINGTONITE,Ca2(Mn|Fe++)Fe+++Si5O14(OH),A
MANGANBELYANKINITE,(Mn|Ca)(Ti|Nb)5O12.9H2O,am.
MANGANBERZELIITE,{Ca2Na}[Mn++2](As+++++3)O12,C
MANGANESE,Mn,C
MANGANESEHORNESITE,(Mn++|Mg)3(AsO4)2.8H2O,M
MANGANESESHADLUNITE,(Mn|Pb|Cd)(Cu|Fe)8S8,C
MANGANGORDONITE,(Mn++|Fe++)Al2(PO4)2(OH)2.8H2O,A
MANGANHUMITE,(Mn++|Mg)7(SiO4)3(OH)2,O
MANGANIANDROSITE-(Ce),(Mn++|Ca)(Ce|La)Mn++(Mn+++|Fe+++)Al(SiO4)(Si2O7)O(OH),M
MANGANIANDROSITE-(La),(Mn++|Ca)(La|Ce|Ca|Nd)AlMn+++Mn++(SiO4)(Si2O7)O(OH),M
MANGANILVAITE,CaFe++Fe+++(Mn|Fe++)(Si2O7)O(OH),M
MANGANIPIEMONTITE-(Sr),CaSr(Mn+++|Fe+++)2Al(SiO4)(Si2O7)O(OH),M
MANGANITE,Mn+++O(OH),M
MANGANLOTHARMEYERITE,Ca(Mn+++|[]|Mg)2{AsO4|[AsO2(OH)2]}2(OH|H2O)2,M
MANGANOBLODITE,Na2(Mn++|Mg)(SO4)2.4H2O,M
MANGANOCHROMITE,(Mn++|Fe++)(Cr+++|V+++)2O4,C
MANGANOCUMMINGTONITE,[]Mn2Mg5Si8O22(OH)2,M
MANGANOEUDIALYTE,Na14Ca6Mn3Zr3[Si26O72(OH)2]Cl2.4H2O,R
MANGANOGRUNERITE,[]Mn2Fe++5Si8O22(OH)2,M
MANGANOKHOMYAKOVITE,Na12Sr3Ca6Mn++3Zr3W(Si25O73)(O|OH|H2O)3(OH|Cl)2,R
MANGANOKUKISVUMITE,Na6Mn++Ti4Si8O28.4H2O,O
MANGANOLANGBEINITE,K2Mn2(SO4)3,C
MANGANONAUJAKASITE,Na6(Mn++|Fe++)Al4Si8O26,M
MANGANONEPTUNITE,KNa2Li(Mn|Fe++)2Ti2Si8O24,M
MANGANONORDITE-(Ce),Na3SrCeMn++Si6O17,O
MANGANOQUADRATITE,AgMnAsS3,Q
MANGANOSEGELERITE,(Mn++|Ca)(Mn++|Fe++|Mg)Fe+++(PO4)2(OH).4H2O,O
MANGANOSITE,Mn++O,C
MANGANOSTIBITE,(Mn++|Fe++)7(SbO4)(AsO4|SiO4)O4,O
MANGANOTYCHITE,Na6(Mn++|Fe++|Mg)2(SO4)(CO3)4,C
MANGANVESUVIANITE,Ca19Mn+++(Al|Mn+++|Fe+++)10(Mg|Mn++)2Si18O69(OH)9,Q
MANGAZEITE,Al2(SO4)(OH)4.3H2O,A
MANITOBAITE,(Na|Ca)3(Mn++|Fe++)5(Al|Fe+++)1|5(PO4)6,M
MANJIROITE,(Na|K)(Mn++++|Mn++)8O16.nH2O,Q
MANNARDITE,BaTi6V+++2O16.H2O,Q
MANSFIELDITE,AlAsO4.2H2O,O
MANTIENNEITE,(H2O|K)2(Mg|Fe++)2(Al|Fe+++)2Ti(PO4)4(O|F)2.14H2O,O
MAONIUPINGITE-(Ce),(Ca|Ce)4(Fe+++|Ti|Fe++|[])(Ti|Fe+++|Fe++|Nb)4Si4O22,M
MAPIMITE,Zn2Fe+++3(AsO4)3(OH)4.10H2O,M
MARCASITE,FeS2,O
MARECOTTITE,Mg3(H2O)18[(UO2)4O3(OH)(SO4)2]2.10H2O,A
MARGARITASITE,(Cs|K|H3O)2(UO2)2V2O8.H2O,M
MARGARITE,CaAl2[]Al2Si2O10(OH)2,M
MARGAROSANITE,Pb(Ca|Mn++)2Si3O9,A
MARIALITE,Na4Al3Si9O24Cl,Q
MARIANOITE,Na2Ca4Nb(Nb|Zr)(Si2O7)2(O|F)4,M
MARICITE,NaFe++PO4,O
MARICOPAITE,(Pb7Ca2)[Al12Si36(O|OH)100].n(H2O|OH),(n=near,32),O
MARIINSKITE,BeCr2O4,O
MARINELLITE,(Na|K|Ca)48(SO4)8(Al6Si6O24)6Cl2.3H2O,H
MARKASCHERITE,Cu3(MoO4)(OH)4,M
MARKCOOPERITE,Pb(UO2)Te++++++O6,M ps Q
MAROKITE,CaMn+++2O4,O
MARRITE,PbAgAsS3,M
MARRUCCIITE,Pb16Hg3Sb18S46,M ps H
MARSHALLSUSSMANITE,NaCaMn++Si3O8(OH),A
MARSHITE,CuI,C
MARSTURITE,NaCaMn3Si5O14(OH),A
MARTHOZITE,Cu++(UO2)3(SeO3)2O2.8H2O,O
MARTINITE,(Na|[]|Ca)12Ca4(Si|S|B)14B2O38(OH|Cl)2F2.4H2O,A ps H
MARTYITE,(Zn|Co)3(V2O7)(OH)2.2H2O,R ps H
MARUMOITE,Pb8As10S23,M ps O
MASCAGNITE,(NH4)2SO4,O
MASLOVITE,(Pt|Pd)(Bi|Te)2,C
MASSICOT,PbO,O
MASUTOMILITE,KLiAlMn++AlSi3O10F2,M
MASUYITE,Pb(UO2)3O3(OH)2.2H2O,O
MATHESIUSITE,K5(UO2)4(SO4)4(VO5)(H2O)4,Q
MATHEWROGERSITE,Pb7(Fe|Cu)Al3GeSi12O36.(OH|H2O)6,R
MATHIASITE,(K|Ca|Sr)(Ti|Cr|Fe|Mg)21O38,R
MATILDITE,AgBiS2,H
MATIOLIITE,Na(Mg|Fe++)Al5(PO4)4(OH)6.2H2O,M
MATLOCKITE,PbFCl,Q
MATSUBARAITE,Sr4Ti5Si4O22,M
MATTAGAMITE,CoTe2,O
MATTEUCCITE,NaHSO4.H2O,M
MATTHEDDLEITE,Pb5(SiO4)1|5(PO4)1|5Cl,H
MATULAITE,Fe+++Al7(PO4)4(PO3OH)2(OH)8(H2O)8.8H2O,M
MAUCHERITE,Ni11As8,Q
MAVLYANOVITE,(Mn|Fe)5Si3,H
MAWBYITE,Pb(Fe+++|Zn)2(AsO4)2(OH|H2O)2,M
MAWSONITE,Cu+6Fe+++2Sn++++S8,Q
MAXWELLITE,(Na|Ca)(Fe+++|Al|Mg)(AsO4)(F|O),M
MAYINGITE,IrBiTe,C
MAZZETTIITE,Ag3HgPbSbTe5,O
MAZZITE-Mg,(Mg2|5K2Ca1|5)[Al10Si26O72].30H2O,H
MAZZITE-Na,Na4[Al4Si14O36].15H2O,H
MBOBOMKULITE,(Ni|Cu)Al4[(NO3)2|(SO4)](OH)12.3H2O,M
MCALLISTERITE,Mg2B12O14(OH)12.9H2O,R
MCALPINEITE,Cu++3Te++++++O6.H2O,C
MCAUSLANITE,HFe++3Al2(PO4)4F.18H2O,A
MCBIRNEYITE,Cu3(VO4)2,A
MCCONNELLITE,CuCrO2,R
MCCRILLISITE,NaCs(Be|Li)Zr2(PO4)4.1-2H2O,Q
MCGILLITE,(Mn|Fe++)8Si6O15(OH)8Cl2,R
MCGOVERNITE,(Mn|Mg|Zn)22(AsO3)(AsO4)3(SiO4)3(OH)20,R
MCGUINNESSITE,(Mg|Cu++)2(CO3)(OH)2,M
MCKELVEYITE-(Nd),(?),Na(Ba|Sr)3Ca(Nd|Ce|La)(CO3)6.3H2O,(?),A
MCKELVEYITE-(Y),Ba3Na(Ca|U)Y(CO3)6.3H2O,A ps R
MCKINSTRYITE,(Ag|Cu)2S,O
MCNEARITE,NaCa5H4(AsO4)5.4H2O,A
MEDAITE,(Mn|Ca)6(V+++++|As)Si5O18(OH),M
MEDENBACHITE,Bi2Fe+++(Cu|Fe++)O2(OH)2(AsO4)2,A
MEGACYCLITE,K2Na16Si18O36(OH)18.32H2O,M
MEGAKALSILITE,KAlSiO4,H
MEGAWITE,Ca(Sn|Zr)O3,O ps C
MEIONITE,Ca4Al6Si6O24(CO3|SO4),Q
MEISSERITE,Na5(UO2)(SO4)3(SO3OH)(H2O),A
MEIXNERITE,Mg6Al2(OH)18.4H2O,R
MEJILLONESITE,NaMg2(PO3OH)(PO4)(OH).H5O2,O
MELANOPHLOGITE,SiO2,C/Q
MELANOSTIBITE,Mn(Sb+++++|Fe+++)O3,R
MELANOTEKITE,Pb2Fe+++2Si2O9,O
MELANOTHALLITE,Cu2OCl2,O
MELANOVANADITE,Ca(V+++++2V++++2)O10.5H2O,A
MELANTERITE,Fe++SO4.7H2O,M
MELILITE,(Ca|Na)2(Al|Mg)(Si|Al)2O7,Q
MELIPHANITE,(Ca|Na)2Be(Si|Al)2(O|OH|F)7,Q
MELKOVITE,CaFe+++H6(MoO4)4(PO4).6H2O,M
MELLITE,Al2[C6(COO)6].16H2O,Q
MELONITE,NiTe2,R
MELONJOSEPHITE,CaFe++Fe+++(PO4)2(OH),O
MENCHETTIITE,Pb5Ag2Mn3As4Sb6S24,M
MENDELEEVITE-(Ce),(Cs6[]6)([]10K2)(REE22Ca6)(Si70O175)(OH|F)16(H2O)19,C
MENDIPITE,Pb3Cl2O2,O
MENDOZAVILITE-KCa,[K2(H2O)15Ca(H2O)6][Mo8P2Fe+++3O34(OH)3],M
MENDOZAVILITE-NaFe,(Na|K)(Ca|Mg)2Fe+++3(PO4)2(Mo++++++8O28)(OH).9H2O,M
MENDOZITE,NaAl(SO4)2.11H2O,M
MENEGHINITE,Pb13CuSb7S24,O
MENEZESITE,Ba3MgZr4Nb12O42.12H2O,C
MENGXIANMINITE,(?),(Ca|Na)3(Fe++|Mn++)2Mg2(Sn++++|Zn)5Al8O29,(?),O
MENIAYLOVITE,Ca4AlSi(SO4)F13.12H2O,C
MENSHIKOVITE,Pd3Ni2As3,H
MENZERITE-(Y),{Y2Ca}[Mg2](Si3)O12,C
MERCALLITE,KHSO4,O
MERCURY,Hg,R
MEREHEADITE,Pb47(BO3)2(CO3)O24(OH)13Cl25,M
MEREITERITE,K2Fe++(SO4)2.4H2O,M
MERENSKYITE,(Pd|Pt)(Te|Bi)2,R
MERIDIANIITE,MgSO4.11H2O,A
MERLINOITE,K5Ca2[Al9Si23O64].22H2O,O
MERRIHUEITE,(K|Na)2(Fe++|Mg)5Si12O30,H
MERTIEITE-I,Pd11(Sb|As)4 ps H
MERTIEITE-II,Pd8(Sb|As)3,R
MERWINITE,Ca3Mg(SiO4)2,M
MESOLITE,Na16Ca16[Al48Si72O240].64H2O,O
MESSELITE,Ca2(Fe++|Mn)(PO4)2.2H2O,A
METAALUMINITE,(META-ALUMINITE),Al2(SO4)(OH)4.5H2O,M
METAALUNOGEN,(META-ALUNOGEN),Al4(SO4)6.27H2O,M
METAANKOLEITE,(META-ANKOLEITE),K2(UO2)2(PO4)2.6H2O,Q
METAAUTUNITE,(META-AUTUNITE),Ca(UO2)2(PO4)2.2-6H2O,Q
METABORITE,HBO2,C
METACALCIOURANOITE,(Ca|Na|Ba)U2O7.2H2O,(?)
METACINNABAR,HgS,C
METADELRIOITE,Ca(VO3)2(H2O)4,A
METAHAIWEEITE,Ca(UO2)2Si6O15.nH2O,M,(?)
METAHEINRICHITE,Ba[(UO2)(AsO4)]2(H2O)7,M
METAHEWETTITE,CaV+++++6O16.3H2O,M
METAHOHMANNITE,Fe+++2(SO4)2O.4H2O,(?)
METAKAHLERITE,Fe++(UO2)2(AsO4)2.8H2O,Q
METAKIRCHHEIMERITE,Co(UO2)2(AsO4)2.8H2O,Q,(?)
METAKOTTIGITE,(Zn|Fe+++|Fe++)3(AsO4)2.8(H2O|OH),A
METALODEVITE,Zn(UO2)2(AsO4)2.10H2O,Q
METAMUNIRITE,Na2[V+++++2O6],or,NaVO3,O
METANATROAUTUNITE,Na2(UO2)2(PO4)2.6-8H2O,Q
METANOVACEKITE,Mg(UO2)2(AsO4)2.4-8H2O,Q
METARAUCHITE,(Ni|Co)(UO2)2(AsO4)2.8H2O,A
METAROSSITE,CaV2O6.2H2O,A
METASALEEITE,Mg(UO2)2(PO4)2.8H2O,Q
METASCHODERITE,Al2(PO4)(VO4).6H2O,M
METASCHOEPITE,UO3.nH2O,(n,smaller,than,2,),O
METASIDERONATRITE,Na2Fe+++(SO4)2(OH).H2O,O
METASTIBNITE,Sb2S3,am.
METASTUDTITE,UO4.2H2O,O
METASWITZERITE,Mn3(PO4)2.4H2O,M
METATORBERNITE,Cu++(UO2)2(PO4)2.8H2O,Q
METATYUYAMUNITE,Ca(UO2)2V2O8.3H2O,O
METAURANOCIRCITE,I,Ba(UO2)2(PO4)2.6-8H2O,Q
METAURANOCIRCITE,II,Ba[(UO2)(PO4)]2(H2O)7,M
METAURANOPILITE,(UO2)6(SO4)(OH)10.5H2O,M
METAURANOSPINITE,Ca(UO2)2(AsO4)2.8H2O,Q
METAVANDENDRIESSCHEITE,PbU7O22.nH2O,(n,smaller,than,12),O
